,name,lat,lon,zipcode
224,Byte Federal Bitcoin ATM,37.49703219999999,-77.4600603,23224
225,Wells Fargo Bank,37.5955595,-77.5762694,23229
226,Cardtronics,37.5955445,-77.5736597,23229
227,Wells Fargo ATM,37.5955305,-77.57624799999999,United States
228,ATM,37.593106,-77.56739999999999,23229
229,Atm,37.6013344,-77.5678286,23229
230,SunTrust,37.5203776,-77.4870948,23225
231,Cardtronics ATM,37.5205496,-77.4880771,23225
232,ATM (Bank of America),37.5210054,-77.48664819999999,23225
233,SunTrust ATM,37.5203619,-77.4870913,United States
234,Cardtronics ATM,37.5207178,-77.4893652,23225
235,BP,37.5096071,-77.4866638,23225
236,"Payment Alliance International, Inc.",37.50956970000001,-77.4866432,23225
237,ATM,37.5097208,-77.4867608,23225
238,Cardtronics,37.5218126,-77.48901710000001,23225
239,Cardtronics ATM,37.5763118,-77.3955948,23223
240,Cardtronics ATM,37.5785469,-77.39523799999999,23222
241,Cardtronics ATM,37.5761474,-77.39473339999999,77027
242,Citibank ATM,37.5746541,-77.39826409999999,23223
243,Cardtronics ATM,37.642209,-77.4933549,23228
244,ATM (7-Eleven),37.64232630000001,-77.4932268,23228
245,ATM,37.6414841,-77.4935211,23228
246,Spencer's Grocery,37.3791397,-77.4715063,23237
247,Cardtronics ATM,37.3791397,-77.4715063,23237
248,C&F Bank,37.44392740000001,-77.3519171,23231
249,Henrico Federal Credit Union,37.629075,-77.50943199999999,23228
250,Partners Financial Federal Credit Union,37.6317598,-77.50738249999999,23228
251,Cardtronics ATM,37.62699519999999,-77.5046325,23228
252,PNC Bank ATM,37.6352798,-77.50877659999999,23228
253,ATM Henrico Fcu,37.6290949,-77.509486,23228
254,PNC Bank ATM,37.6347353,-77.50786839999999,23228
255,ATM,37.4667786,-77.65926689999999,23114
256,ATM,37.2858539,-77.2257173,23860
257,Wells Fargo Bank,37.5354576,-77.32224939999999,23075
258,ATM,37.5372611,-77.32138069999999,23075
259,Shell,37.5374466,-77.3202115,23075
260,Citibank ATM,37.5373075,-77.3189214,23075
261,ATM (Wells Fargo Bank),37.535484,-77.322259,23075
262,ATM (Handi Stop),37.530629,-77.31193200000001,23150
263,Handi Stop,37.5305661,-77.3118684,23150
264,Capital One ATM,37.53664150000001,-77.31999160000001,23075
265,ATM,37.53742750000001,-77.3202986,23075
266,ATM,37.5261788,-77.30845769999999,23150
267,Glen Allen Fast Food,37.69297530000001,-77.54942539999999,23059
268,ATM (Glen Allen Fast Food),37.6930247,-77.5493135,23059
269,ATM (Glen Allen Fast Food),37.6930241,-77.5493803,23059
270,ATM Express,37.691554,-77.5497165,23059
271,"ATM USA, LLC",37.524237,-77.40394169999999,23223
272,"Payment Alliance International, Inc.",37.5139653,-77.39554439999999,23231
273,SUPER STOP INC,37.4793281,-77.3520393,23231
274,ATM (Super Stop),37.47933719999999,-77.35207090000002,23231
275,City National Bank - ATM,37.398517,-77.707473,23112
